SO Description,CustCode,Dsg Ctg,Prod Ctg,PPC Delivery Period,Factory,Set Type,MS Qty,WS Qty,KT,Total Bag Bal,Bal To Prod Qty,Bal To Exp Qty,BalToMfg,CastBal
LGD Diamond Ring Order,CUST0068,RING BRIDAL,FINE JEWELRY,W15-2026,F10,WS,0,18,09KPT,105,324,294,186,73
Natural Diamond Bangle Order,CUST0095,RING,BRIDAL COLLECTION,W34-2026,F9,WS/MS,21,11,09K92,198,170,51,248,99
LGD Bridal Set Order,CUST0020,RING,FASHION JEWELRY,W36-2026,F4,MS,18,0,09K,547,208,279,331,193
LGD Diamond Earring Set,CUST0059,RING,CLASSIC COLLECTION,W20-2026,F10,MS,1,0,14K,816,176,90,396,90
Natural Diamond Ring Order,CUST0033,NECKLACE,VINTAGE STYLE,Due,F3,WS/MS,3,30,18K,331,436,81,289,190
Mined Stone Earring Set,CUST0063,EARRING,MODERN DESIGN,W34-2026,F1,MS,22,0,14K92,439,255,120,137,15
Mined Stone Earring Set,CUST0054,RING BRIDAL,FASHION JEWELRY,W37-2026,F2,MS,33,0,BRASS,471,31,176,65,163
LGD Bridal Set Order,CUST0048,BRACELET,MODERN DESIGN,W47-2026,F10,MS,24,0,S930,689,390,78,232,183
LGD Diamond Earring Set,CUST0079,RING,STATEMENT PIECES,To Check,F1,MS,38,0,S930,476,338,19,43,30
Natural Stone Pendant,CUST0002,EARRING,EVERYDAY WEAR,W39-2026,F1,MS,33,0,10K92,856,415,75,340,19
LGD Diamond Bangle,CUST0096,RING,STATEMENT PIECES,W25-2026,F2,WS,0,31,BRASS,24,43,48,219,28
LGD Bridal Set Order,CUST0092,RING,CLASSIC COLLECTION,W45-2026,F4,MS,29,0,S928,437,241,199,60,13
LGD Diamond Earring Set,CUST0041,BROOCH,FINE JEWELRY,Due,F10,MS,25,0,U14K,888,30,174,392,25
Natural Stone Pendant,CUST0044,RING,BRIDAL COLLECTION,W19-2026,F1,WS/MS,19,4,S925,225,496,167,246,111
Natural Diamond Ring Order,CUST0051,EARRING,BRIDAL COLLECTION,Overdue,F2,WS,0,20,09K92,469,283,237,110,54
LGD Diamond Necklace,CUST0002,RING BRIDAL,BRIDAL COLLECTION,W04-2026,F9,MS,41,0,S925,826,142,101,339,14
Mined Stone Ring Collection,CUST0029,EARRING,MODERN DESIGN,To Check,F2,MS,4,0,18K,432,101,132,302,33
Natural Diamond Bracelet,CUST0012,RING,STATEMENT PIECES,W50-2026,F1,WS,0,28,U10K,538,395,137,100,181
Mined Stone Earring Set,CUST0084,NECKLACE,FINE JEWELRY,W39-2026,F10,MS,8,0,U14K,297,182,14,64,58
LGD Diamond Earring Set,CUST0010,EAR PARTY,VINTAGE STYLE,Due,F3,WS,0,44,S930,665,427,18,101,194
Natural Diamond Ring Order,CUST0099,RING,FASHION JEWELRY,W50-2026,F4,MS,35,0,14K92,648,373,23,70,24
Mined Stone Brooch Order,CUST0035,RING,STATEMENT PIECES,W37-2026,F9,WS,0,48,09KPT,17,221,221,382,10
LGD Diamond Earring Set,CUST0090,RING,FINE JEWELRY,W02-2026,F3,WS,0,34,U09K,462,214,170,302,89
Mined Stone Brooch Order,CUST0021,PENDANT,VINTAGE STYLE,W37-2026,F2,WS,0,50,U09K,796,288,162,312,27
Natural Diamond Ring Order,CUST0078,RING,FASHION JEWELRY,W45-2026,F9,WS,0,34,U09K,507,45,241,171,53
LGD Diamond Ring Order,CUST0089,NECKLACE,CLASSIC COLLECTION,W26-2026,F3,WS/MS,13,11,S928,594,250,2,210,105
Natural Diamond Anklet,CUST0014,BRACELET,LUXURY LINE,To Check,F2,WS,0,4,PT95,44,411,139,68,176
Mined Stone Earring Set,CUST0028,NECKLACE,CLASSIC COLLECTION,Due,F10,MS,7,0,U14K,722,164,129,310,131
Natural Diamond Anklet,CUST0003,RING,VINTAGE STYLE,W49-2026,F10,WS,0,28,14K92,895,471,30,237,35
LGD Diamond Earring Set,CUST0067,RING BRIDAL,LUXURY LINE,W20-2026,F9,MS,40,0,S930,852,193,116,187,122
Mined Diamond Necklace Order,CUST0071,NECK PIECE,FINE JEWELRY,Due,F2,WS,0,45,09KPT,502,494,239,196,67
LGD Solitaire Engagement Ring,CUST0100,BRACELET,BRIDAL COLLECTION,W18-2026,F9,WS,0,49,14K,600,78,64,17,147
Natural Diamond Ring Order,CUST0100,PENDANT,FINE JEWELRY,W21-2026,F2,WS,0,30,10K,971,231,5,168,52
Mined Diamond Bridal Set,CUST0028,RING BRIDAL,MODERN DESIGN,Overdue,F10,WS,0,41,09K92,68,66,78,2,114
Mined Stone Ring Collection,CUST0044,RING BRIDAL,STATEMENT PIECES,Overdue,F2,WS,0,3,14K,271,230,5,206,190
Mined Diamond Bridal Set,CUST0089,RING,EVERYDAY WEAR,W04-2026,F3,WS,0,46,BRASS,553,233,147,384,16
Natural Diamond Bracelet,CUST0055,BOLO BRACELET,FINE JEWELRY,W23-2026,F4,MS,30,0,14K,501,417,299,107,57
Natural Diamond Bracelet,CUST0079,RING,FINE JEWELRY,To Check,F4,MS,10,0,S928,299,392,75,310,105
Mined Stone Brooch Order,CUST0055,RING,FASHION JEWELRY,W25-2026,F3,WS,0,47,BRASS,143,143,8,263,136
LGD Eternity Ring,CUST0051,BRACELET,FINE JEWELRY,Overdue,F2,WS,0,50,09K92,269,381,84,301,55
LGD Diamond Earring Set,CUST0047,RING,CLASSIC COLLECTION,W09-2026,F1,MS,8,0,10K,777,351,202,204,86
Mined Stone Earring Set,CUST0067,RING BRIDAL,MODERN DESIGN,W19-2026,F9,WS,0,23,PT95,468,131,99,277,115
LGD Eternity Ring,CUST0045,RING BRIDAL,MODERN DESIGN,W25-2026,F4,WS,0,47,14K,717,157,226,311,14
Mined Diamond Bridal Set,CUST0068,EARRING,EVERYDAY WEAR,Due,F2,WS,0,37,S928,347,387,78,227,44
LGD Pendant Collection,CUST0082,RING,CLASSIC COLLECTION,W01-2026,F1,MS,31,0,S928,698,251,156,336,200
Mined Stone Earring Set,CUST0051,RING BRIDAL,MODERN DESIGN,Overdue,F3,MS,5,0,U10K,543,388,29,208,136
Natural Diamond Bangle Order,CUST0026,NECKLACE,STATEMENT PIECES,W04-2026,F1,MS,11,0,S925,656,376,94,320,137
LGD Bridal Set Order,CUST0063,RING,FINE JEWELRY,W12-2026,F4,WS/MS,2,9,U10K,526,43,9,198,64
LGD Diamond Ring Order,CUST0074,EAR PARTY,FASHION JEWELRY,W47-2026,F10,WS,0,17,09K,451,254,247,80,93
LGD Pendant Collection,CUST0018,NECKLACE,FINE JEWELRY,W09-2026,F1,WS,0,18,BRASS,78,318,222,253,194
Natural Diamond Anklet,CUST0040,BRACELET,EVERYDAY WEAR,Due,F4,WS,0,14,U10K,342,135,171,374,197
LGD Diamond Necklace,CUST0012,PENDANT,LUXURY LINE,W04-2026,F2,WS,0,18,U10K,971,53,49,353,116
LGD Bridal Set Order,CUST0062,BANGLE,EVERYDAY WEAR,W52-2026,F3,WS/MS,6,19,14K92,41,287,12,299,87
LGD Eternity Ring,CUST0014,NECKLACE,STATEMENT PIECES,W45-2026,F2,WS,0,22,U09K,213,426,147,105,184
Natural Diamond Bangle Order,CUST0065,NECKLACE,VINTAGE STYLE,W17-2026,F10,WS,0,49,14K92,579,420,111,79,57
LGD Pendant Collection,CUST0040,EARRING,FASHION JEWELRY,W34-2026,F4,MS,48,0,09KPT,181,329,257,345,67
LGD Diamond Earring Set,CUST0029,BRACELET,FASHION JEWELRY,W19-2026,F4,WS/MS,6,25,09K,735,324,251,32,164
Natural Diamond Anklet,CUST0088,BRACELET,CLASSIC COLLECTION,Due,F2,MS,5,0,09K92,918,499,23,238,153
Natural Diamond Ring Order,CUST0044,EARRING,MODERN DESIGN,W19-2026,F9,WS,0,48,09K,683,73,278,376,58
LGD Eternity Ring,CUST0077,NECKLACE,BRIDAL COLLECTION,W13-2026,F4,WS/MS,11,22,10K,960,381,16,54,81
Natural Diamond Bangle Order,CUST0098,RING,BRIDAL COLLECTION,W25-2026,F1,WS,0,29,18K,64,34,241,97,99
Mined Diamond Necklace Order,CUST0077,PENDANT,VINTAGE STYLE,W02-2026,F1,WS/MS,15,16,10K,249,123,204,183,139
LGD Diamond Ring Order,CUST0087,RING,BRIDAL COLLECTION,To Check,F2,WS,0,33,09K,705,487,257,356,63
Mined Stone Brooch Order,CUST0063,BANGLE,LUXURY LINE,W49-2026,F9,MS,16,0,09K92,141,234,17,176,85
LGD Diamond Ring Order,CUST0052,NECK PIECE,EVERYDAY WEAR,W40-2026,F2,MS,50,0,10K,582,296,258,378,176
Natural Diamond Bracelet,CUST0046,EARRING,MODERN DESIGN,W35-2026,F9,WS,0,35,U14K,548,317,219,177,148
Natural Diamond Bangle Order,CUST0043,RING,MODERN DESIGN,Due,F9,WS,0,34,10K92,3,490,195,71,200
Mined Diamond Bridal Set,CUST0064,BRACELET,EVERYDAY WEAR,Overdue,F1,WS,0,41,14K,433,163,76,334,117
LGD Diamond Earring Set,CUST0071,RING,LUXURY LINE,W43-2026,F4,MS,21,0,09K92,700,213,113,83,131
Mined Stone Earring Set,CUST0098,RING,LUXURY LINE,W10-2026,F2,MS,16,0,14K92,107,223,65,9,70
Mined Diamond Bridal Set,CUST0012,RING BRIDAL,FASHION JEWELRY,W23-2026,F10,WS,0,14,14K,429,156,131,160,82
LGD Diamond Necklace,CUST0098,BRACELET,LUXURY LINE,W28-2026,F4,MS,3,0,BRASS,503,277,174,240,34
LGD Pendant Collection,CUST0082,NECK PIECE,STATEMENT PIECES,W10-2026,F4,WS/MS,10,29,S930,371,20,103,268,70
Mined Stone Brooch Order,CUST0003,RING BRIDAL,LUXURY LINE,W44-2026,F2,WS/MS,24,9,18K,210,116,247,241,175
LGD Solitaire Engagement Ring,CUST0085,RING,BRIDAL COLLECTION,Overdue,F10,WS,0,15,09K92,960,74,204,361,66
Mined Diamond Bridal Set,CUST0070,RING,STATEMENT PIECES,Due,F3,MS,2,0,18K,160,119,4,214,17
Natural Stone Pendant,CUST0062,RING BRIDAL,CLASSIC COLLECTION,W04-2026,F3,WS,0,19,09K92,501,470,71,48,114
Mined Stone Earring Set,CUST0022,PENDANT,EVERYDAY WEAR,Due,F9,WS,0,9,09K92,934,32,292,202,84
Natural Diamond Anklet,CUST0057,BRACELET,STATEMENT PIECES,W40-2026,F2,MS,15,0,09K,970,70,262,394,33
Natural Stone Pendant,CUST0077,EARRING,FASHION JEWELRY,W40-2026,F2,MS,30,0,U10K,406,375,81,31,87
Mined Stone Brooch Order,CUST0040,RING,FASHION JEWELRY,Overdue,F1,MS,3,0,09KPT,829,281,79,6,158
LGD Halo Ring Order,CUST0066,BOLO BRACELET,VINTAGE STYLE,W33-2026,F4,WS/MS,24,7,U09K,399,421,63,357,125
Mined Stone Earring Set,CUST0012,RING BRIDAL,FASHION JEWELRY,W22-2026,F9,MS,26,0,BRASS,878,38,80,309,17
LGD Diamond Earring Set,CUST0079,RING,FINE JEWELRY,W15-2026,F10,WS,0,39,09K92,450,19,35,123,38
Natural Diamond Bangle Order,CUST0024,RING,BRIDAL COLLECTION,W46-2026,F1,MS,12,0,PT95,966,397,11,206,130
Mined Stone Earring Set,CUST0029,BANGLE,STATEMENT PIECES,W12-2026,F1,MS,24,0,09K,707,335,190,84,126
LGD Pendant Collection,CUST0098,BANGLE,BRIDAL COLLECTION,W24-2026,F10,WS,0,3,10K,198,156,171,48,142
Mined Diamond Bridal Set,CUST0081,RING BRIDAL,MODERN DESIGN,W19-2026,F3,MS,13,0,U18K,778,193,66,139,155
LGD Diamond Bangle,CUST0091,RING,STATEMENT PIECES,Due,F3,WS/MS,22,16,09KPT,326,442,220,47,53
LGD Eternity Ring,CUST0027,EARRING,LUXURY LINE,Overdue,F1,WS,0,19,S925,174,250,163,383,38
LGD Solitaire Engagement Ring,CUST0057,NECK PIECE,MODERN DESIGN,W36-2026,F4,MS,50,0,14K,443,245,135,152,191
LGD Diamond Bangle,CUST0016,EARRING,MODERN DESIGN,W49-2026,F4,WS,0,45,10K,239,204,203,173,19
Mined Diamond Bridal Set,CUST0077,EARRING,CLASSIC COLLECTION,W52-2026,F2,MS,47,0,U18K,850,33,125,117,72
Natural Stone Pendant,CUST0064,RING BRIDAL,LUXURY LINE,Overdue,F10,WS,0,5,U10K,194,498,287,252,43
LGD Diamond Necklace,CUST0005,RING BRIDAL,FASHION JEWELRY,W02-2026,F2,WS,0,34,S930,131,101,25,239,199
LGD Solitaire Engagement Ring,CUST0091,NECKLACE,MODERN DESIGN,Overdue,F4,MS,4,0,PT95,627,26,65,386,16
Natural Diamond Bangle Order,CUST0022,RING,MODERN DESIGN,W24-2026,F3,WS,0,23,09KPT,866,372,29,12,156
LGD Diamond Ring Order,CUST0052,EAR PARTY,EVERYDAY WEAR,To Check,F10,WS/MS,6,14,PT95,627,178,192,42,195
Mined Stone Earring Set,CUST0023,RING,CLASSIC COLLECTION,Due,F2,MS,48,0,S925,351,8,122,222,110
Natural Diamond Anklet,CUST0051,RING,MODERN DESIGN,Overdue,F4,MS,29,0,U18K,651,276,116,125,36
Mined Stone Ring Collection,CUST0048,RING BRIDAL,FASHION JEWELRY,Due,F3,WS/MS,27,10,U18K,735,87,250,81,50
Mined Diamond Bridal Set,CUST0019,RING BRIDAL,EVERYDAY WEAR,To Check,F3,WS,0,29,S930,338,119,152,4,191
Mined Diamond Bridal Set,CUST0067,RING,FASHION JEWELRY,W29-2026,F3,WS,0,45,09K,967,124,13,275,160
Natural Diamond Bangle Order,CUST0067,RING BRIDAL,FINE JEWELRY,Due,F4,WS,0,50,14K,677,254,293,224,157
LGD Halo Ring Order,CUST0056,NECK PIECE,STATEMENT PIECES,To Check,F9,WS/MS,9,9,U10K,826,401,203,345,33
LGD Tennis Bracelet Order,CUST0027,PENDANT,FINE JEWELRY,W34-2026,F9,WS,0,49,BRASS,701,320,45,251,151
Natural Diamond Ring Order,CUST0096,NECK PIECE,STATEMENT PIECES,W26-2026,F9,MS,44,0,14K92,839,164,107,392,159
Mined Diamond Bridal Set,CUST0062,RING,STATEMENT PIECES,To Check,F1,WS/MS,28,8,U18K,64,226,132,229,38
LGD Bridal Set Order,CUST0008,EAR PARTY,BRIDAL COLLECTION,W41-2026,F9,MS,1,0,U14K,933,428,273,204,130
LGD Diamond Earring Set,CUST0004,RING BRIDAL,VINTAGE STYLE,W47-2026,F3,WS/MS,27,7,U10K,935,343,176,73,142
Natural Diamond Bracelet,CUST0029,EARRING,LUXURY LINE,W18-2026,F2,WS,0,42,09KPT,138,433,95,162,200
Natural Stone Pendant,CUST0057,RING,VINTAGE STYLE,W21-2026,F2,WS/MS,27,9,09KPT,656,453,169,190,179
Natural Diamond Bangle Order,CUST0012,BOLO BRACELET,VINTAGE STYLE,W11-2026,F4,WS/MS,27,10,09K,700,254,233,327,119
Mined Stone Ring Collection,CUST0027,RING BRIDAL,EVERYDAY WEAR,W47-2026,F10,WS,0,23,10K92,944,365,269,240,69
Natural Diamond Bracelet,CUST0026,BRACELET,FASHION JEWELRY,W52-2026,F4,MS,11,0,PT95,165,151,212,312,82
LGD Halo Ring Order,CUST0017,NECK PIECE,FINE JEWELRY,Overdue,F10,WS,0,15,10K92,210,491,295,62,107
Mined Stone Earring Set,CUST0021,BRACELET,LUXURY LINE,W30-2026,F2,WS,0,46,S928,521,332,9,68,19
Mined Stone Brooch Order,CUST0080,BANGLE,BRIDAL COLLECTION,Overdue,F9,WS,0,23,U10K,820,79,210,208,185
Natural Diamond Bangle Order,CUST0032,RING,BRIDAL COLLECTION,W19-2026,F1,WS,0,22,BRASS,337,440,167,118,55
LGD Eternity Ring,CUST0077,RING BRIDAL,LUXURY LINE,W24-2026,F4,MS,21,0,BRASS,927,233,80,166,113
LGD Tennis Bracelet Order,CUST0050,BRACELET,FINE JEWELRY,W36-2026,F9,WS,0,26,BRASS,323,396,116,72,132
Natural Diamond Anklet,CUST0084,RING,STATEMENT PIECES,W15-2026,F4,WS,0,33,10K,452,159,141,277,83
LGD Diamond Earring Set,CUST0064,RING BRIDAL,FINE JEWELRY,W18-2026,F1,WS,0,45,U10K,437,452,261,19,149
Natural Diamond Bracelet,CUST0037,EARRING,LUXURY LINE,W17-2026,F2,MS,44,0,09KPT,640,437,247,1,87
LGD Diamond Bangle,CUST0070,NECKLACE,FINE JEWELRY,W34-2026,F4,MS,19,0,PT95,327,329,97,273,186
Mined Stone Ring Collection,CUST0099,BROOCH,BRIDAL COLLECTION,Due,F9,WS,0,21,18K,308,339,166,121,69
LGD Diamond Earring Set,CUST0041,RING BRIDAL,LUXURY LINE,W20-2026,F3,WS,0,38,10K92,666,442,165,257,60
Mined Diamond Necklace Order,CUST0003,EAR PARTY,STATEMENT PIECES,W44-2026,F3,MS,44,0,10K92,526,66,19,34,161
LGD Diamond Earring Set,CUST0021,BOLO BRACELET,BRIDAL COLLECTION,W02-2026,F9,WS,0,32,09K92,889,131,142,288,65
Natural Diamond Ring Order,CUST0005,BROOCH,EVERYDAY WEAR,W40-2026,F1,WS,0,33,10K,572,233,186,49,124
Natural Stone Pendant,CUST0041,RING,BRIDAL COLLECTION,W29-2026,F9,MS,9,0,10K92,795,79,288,104,135
Mined Stone Ring Collection,CUST0037,EARRING,BRIDAL COLLECTION,W03-2026,F10,MS,41,0,BRASS,12,210,167,14,108
LGD Pendant Collection,CUST0047,ANKLET,STATEMENT PIECES,W45-2026,F3,MS,11,0,S925,460,278,90,318,29
Natural Diamond Bangle Order,CUST0083,BANGLE,FINE JEWELRY,W33-2026,F3,MS,7,0,PT95,817,339,236,250,168
Mined Stone Earring Set,CUST0001,BRACELET,CLASSIC COLLECTION,W19-2026,F3,MS,40,0,14K,922,142,85,328,2
Natural Diamond Anklet,CUST0075,EARRING,STATEMENT PIECES,W23-2026,F10,WS,0,36,U14K,301,330,27,303,160
Mined Diamond Necklace Order,CUST0052,RING,VINTAGE STYLE,W28-2026,F1,MS,34,0,S930,932,191,40,79,117
LGD Halo Ring Order,CUST0064,NECK PIECE,LUXURY LINE,W11-2026,F9,WS,0,7,14K,837,445,56,269,61
Mined Stone Brooch Order,CUST0054,ANKLET,EVERYDAY WEAR,W31-2026,F9,WS,0,23,10K92,362,409,31,1,19
Mined Stone Ring Collection,CUST0052,BRACELET,LUXURY LINE,W29-2026,F9,MS,18,0,S930,674,273,40,322,37
LGD Diamond Necklace,CUST0066,RING BRIDAL,STATEMENT PIECES,W24-2026,F4,MS,18,0,10K92,395,208,255,165,88
Natural Diamond Anklet,CUST0042,BROOCH,VINTAGE STYLE,W05-2026,F2,WS/MS,25,22,U18K,299,378,9,225,113
Mined Stone Brooch Order,CUST0092,NECK PIECE,LUXURY LINE,W51-2026,F9,MS,30,0,14K,622,466,127,284,193
LGD Tennis Bracelet Order,CUST0025,EARRING,MODERN DESIGN,Due,F10,MS,21,0,14K92,2,86,46,99,95
LGD Tennis Bracelet Order,CUST0042,EAR PARTY,EVERYDAY WEAR,W34-2026,F3,MS,48,0,14K,322,22,118,363,165
LGD Eternity Ring,CUST0051,RING,CLASSIC COLLECTION,Due,F1,WS,0,5,14K92,635,46,269,251,37
LGD Tennis Bracelet Order,CUST0048,NECKLACE,LUXURY LINE,W24-2026,F10,MS,31,0,S928,837,482,62,347,156
LGD Bridal Set Order,CUST0051,NECKLACE,LUXURY LINE,Due,F4,WS,0,28,10K92,17,244,49,29,133
Natural Diamond Anklet,CUST0072,NECK PIECE,BRIDAL COLLECTION,W03-2026,F10,MS,30,0,14K,794,400,18,272,115
LGD Bridal Set Order,CUST0052,RING,FASHION JEWELRY,W08-2026,F4,WS/MS,14,24,14K92,1000,33,58,386,45
LGD Halo Ring Order,CUST0044,PENDANT,CLASSIC COLLECTION,W47-2026,F4,WS,0,7,S930,372,351,221,387,171
LGD Diamond Bangle,CUST0048,BRACELET,CLASSIC COLLECTION,Due,F4,MS,34,0,09KPT,781,440,175,149,140
Natural Diamond Ring Order,CUST0053,BOLO BRACELET,EVERYDAY WEAR,W35-2026,F1,MS,23,0,09K,625,269,186,246,54
Natural Stone Pendant,CUST0064,NECKLACE,CLASSIC COLLECTION,Due,F3,MS,35,0,BRASS,856,366,180,236,20
Natural Stone Pendant,CUST0077,RING,STATEMENT PIECES,To Check,F2,WS,0,38,09K,263,62,223,0,176
Natural Diamond Ring Order,CUST0026,EAR PARTY,STATEMENT PIECES,W37-2026,F1,WS,0,50,PT95,634,435,50,366,83
LGD Solitaire Engagement Ring,CUST0034,NECKLACE,LUXURY LINE,W35-2026,F10,MS,48,0,09KPT,365,314,58,65,200
Natural Stone Pendant,CUST0055,PENDANT,MODERN DESIGN,W49-2026,F10,MS,39,0,PT95,177,253,124,60,143
Natural Diamond Ring Order,CUST0042,BOLO BRACELET,STATEMENT PIECES,To Check,F4,MS,8,0,U14K,695,77,275,51,161
LGD Diamond Necklace,CUST0069,RING,CLASSIC COLLECTION,Overdue,F1,WS,0,38,09KPT,413,30,30,345,127
Natural Diamond Ring Order,CUST0082,BANGLE,STATEMENT PIECES,W16-2026,F2,WS,0,9,09KPT,336,199,289,290,116
Mined Stone Ring Collection,CUST0032,PENDANT,BRIDAL COLLECTION,W13-2026,F9,WS,0,21,10K,630,388,222,47,108
Mined Stone Earring Set,CUST0075,ANKLET,EVERYDAY WEAR,W18-2026,F3,MS,48,0,14K,405,16,155,163,87
Natural Diamond Bangle Order,CUST0023,ANKLET,CLASSIC COLLECTION,To Check,F2,WS/MS,28,27,U18K,138,413,190,147,60
LGD Diamond Earring Set,CUST0089,BANGLE,BRIDAL COLLECTION,To Check,F4,WS,0,9,18K,947,413,244,187,87
LGD Solitaire Engagement Ring,CUST0021,RING,VINTAGE STYLE,Overdue,F9,MS,2,0,S925,805,125,1,3,157
Mined Stone Ring Collection,CUST0032,NECK PIECE,EVERYDAY WEAR,W32-2026,F10,MS,41,0,10K,18,485,172,88,73
Natural Diamond Ring Order,CUST0069,PENDANT,FASHION JEWELRY,Due,F2,WS,0,48,U09K,736,24,159,165,117
LGD Tennis Bracelet Order,CUST0013,PENDANT,EVERYDAY WEAR,Due,F2,WS,0,6,09K92,416,245,110,134,77
LGD Diamond Earring Set,CUST0027,ANKLET,STATEMENT PIECES,W47-2026,F2,WS/MS,24,25,14K,700,84,154,92,8
Mined Stone Ring Collection,CUST0026,RING,EVERYDAY WEAR,Overdue,F1,MS,17,0,S930,585,272,166,199,20
LGD Tennis Bracelet Order,CUST0019,RING,CLASSIC COLLECTION,Overdue,F1,WS,0,3,10K,48,208,104,322,107
Natural Stone Pendant,CUST0033,RING,FINE JEWELRY,W34-2026,F3,WS,0,27,09K92,382,222,17,204,134
Natural Stone Pendant,CUST0074,NECKLACE,BRIDAL COLLECTION,W17-2026,F4,MS,24,0,14K,157,490,42,304,161
LGD Solitaire Engagement Ring,CUST0001,BRACELET,CLASSIC COLLECTION,W11-2026,F9,WS/MS,12,12,U18K,932,446,225,167,184
LGD Eternity Ring,CUST0100,RING,LUXURY LINE,W51-2026,F2,MS,2,0,09K,942,499,86,149,76
LGD Pendant Collection,CUST0043,PENDANT,FASHION JEWELRY,W25-2026,F1,WS,0,12,14K92,567,386,291,271,178
Mined Stone Earring Set,CUST0046,NECKLACE,EVERYDAY WEAR,W01-2026,F9,WS,0,26,S925,717,363,295,165,162
Mined Stone Ring Collection,CUST0008,RING,FASHION JEWELRY,W35-2026,F1,WS,0,5,09K,606,66,10,22,44
LGD Eternity Ring,CUST0009,RING,FINE JEWELRY,Overdue,F2,MS,19,0,09K92,865,117,47,174,192
Mined Stone Brooch Order,CUST0084,BRACELET,VINTAGE STYLE,W48-2026,F3,MS,8,0,14K,250,335,243,51,182
LGD Diamond Bangle,CUST0060,RING,FASHION JEWELRY,W15-2026,F9,MS,10,0,S925,481,348,47,337,43
Mined Stone Ring Collection,CUST0019,EARRING,BRIDAL COLLECTION,Overdue,F9,WS,0,40,09K,722,74,40,141,49
Natural Diamond Bangle Order,CUST0083,NECK PIECE,EVERYDAY WEAR,Due,F2,MS,49,0,PT95,925,80,13,321,110
LGD Diamond Ring Order,CUST0043,EARRING,CLASSIC COLLECTION,W49-2026,F10,WS,0,29,PT95,186,113,300,383,132
LGD Halo Ring Order,CUST0008,ANKLET,FASHION JEWELRY,W43-2026,F3,MS,14,0,U09K,438,402,157,291,136
Mined Stone Earring Set,CUST0095,BRACELET,FINE JEWELRY,W25-2026,F4,WS/MS,30,22,U18K,124,469,160,258,28
LGD Eternity Ring,CUST0035,PENDANT,FASHION JEWELRY,W39-2026,F4,WS/MS,28,7,S925,796,263,48,87,16
Mined Diamond Necklace Order,CUST0058,RING,VINTAGE STYLE,W51-2026,F9,WS,0,50,S925,326,190,121,126,170
LGD Bridal Set Order,CUST0009,RING,EVERYDAY WEAR,W46-2026,F10,MS,5,0,U09K,263,154,145,35,176
LGD Diamond Bangle,CUST0089,EARRING,FINE JEWELRY,W25-2026,F4,MS,13,0,14K,807,434,17,159,144
Natural Diamond Bracelet,CUST0043,RING BRIDAL,FASHION JEWELRY,W50-2026,F2,WS,0,37,PT95,720,345,54,264,82
LGD Diamond Ring Order,CUST0099,RING BRIDAL,MODERN DESIGN,W18-2026,F4,WS,0,48,U10K,218,233,165,237,51
Natural Diamond Bangle Order,CUST0067,BROOCH,EVERYDAY WEAR,Overdue,F9,MS,4,0,10K92,206,116,122,58,198
Natural Stone Pendant,CUST0038,RING,LUXURY LINE,W27-2026,F2,MS,23,0,18K,790,122,28,187,154
Mined Stone Earring Set,CUST0095,EARRING,FASHION JEWELRY,W37-2026,F10,MS,15,0,18K,132,120,10,204,45
Mined Stone Ring Collection,CUST0037,BRACELET,LUXURY LINE,Due,F3,MS,4,0,09K92,157,458,276,48,43
Mined Diamond Necklace Order,CUST0078,BRACELET,FINE JEWELRY,W05-2026,F1,MS,3,0,10K92,559,83,249,12,118
LGD Diamond Necklace,CUST0087,BROOCH,FASHION JEWELRY,W02-2026,F1,MS,5,0,14K,706,424,238,300,189
Natural Stone Pendant,CUST0019,RING BRIDAL,STATEMENT PIECES,W26-2026,F4,MS,47,0,U14K,959,224,250,86,193
LGD Halo Ring Order,CUST0044,RING,CLASSIC COLLECTION,W22-2026,F9,MS,48,0,U18K,269,339,83,290,181
Mined Diamond Bridal Set,CUST0012,RING,STATEMENT PIECES,Overdue,F1,MS,31,0,10K,189,197,98,130,199
LGD Tennis Bracelet Order,CUST0062,RING,CLASSIC COLLECTION,W15-2026,F10,WS/MS,18,26,PT95,795,466,271,18,107
Natural Stone Pendant,CUST0077,RING BRIDAL,BRIDAL COLLECTION,W42-2026,F4,WS,0,28,09KPT,893,155,49,373,88
Natural Diamond Bracelet,CUST0027,PENDANT,STATEMENT PIECES,W05-2026,F3,WS,0,20,18K,414,400,78,112,173
Mined Stone Brooch Order,CUST0028,RING,STATEMENT PIECES,To Check,F4,WS/MS,1,9,10K92,336,355,150,304,24
Natural Diamond Bangle Order,CUST0029,RING BRIDAL,FINE JEWELRY,W38-2026,F10,MS,44,0,BRASS,537,10,32,299,25
LGD Tennis Bracelet Order,CUST0089,BANGLE,FINE JEWELRY,W42-2026,F3,WS,0,46,S925,709,67,189,322,112
LGD Halo Ring Order,CUST0092,RING,BRIDAL COLLECTION,W46-2026,F1,MS,44,0,U14K,525,45,101,244,107
LGD Pendant Collection,CUST0091,BANGLE,VINTAGE STYLE,To Check,F2,MS,30,0,U18K,884,174,182,155,37
Mined Diamond Necklace Order,CUST0007,NECKLACE,STATEMENT PIECES,W13-2026,F9,MS,49,0,PT95,624,302,291,389,66
Mined Diamond Bridal Set,CUST0014,ANKLET,VINTAGE STYLE,W13-2026,F9,WS/MS,30,29,14K92,634,296,276,250,187
